#{"t_start": 1731235527.5467494, "env_id": "None"}
r,l,t
0.011942,1001,5.641312
0.0,1001,10.186005
0.022925,1001,14.940299
0.015523,328,16.841311
0.002545,1001,21.062793
0.016712,1001,25.246766
0.015132,948,29.188825
0.003731,1001,33.325847
0.0,602,35.978096
0.011207,219,37.190958
0.006001,1001,41.296592
0.005418,1001,47.482541
0.013353,1001,67.25031
0.018874,346,74.943982
0.011289,320,86.258075
0.011477,270,92.205202
0.0,603,104.602025
0.012611,778,119.940166
0.0,369,127.710007
0.004635,30,128.802403
0.003776,130,131.852457
0.005772,359,139.192389
0.0,134,142.314417
0.02307,116,145.0346
0.012194,138,148.173764
0.006663,1001,169.46145
0.0,78,176.236522
0.0,82,178.875546
0.003236,354,186.265853
0.0,396,194.517774
0.0,144,198.203464
0.004551,514,208.392261
0.000709,335,215.255253
0.0,26,216.210931
0.002906,150,219.528041
0.012926,227,224.368867
0.0,157,227.801993
0.0,274,233.505448
0.0,219,238.113245
0.0,288,244.116039
0.0,191,248.24659
0.007335,153,251.687861
0.002084,1001,271.800606
0.0,421,280.427778
0.0,62,282.094976
0.0,1001,302.06414
0.009648,705,316.870527
0.007409,92,319.04311
0.002839,187,323.008299
0.011867,384,330.697933
0.000513,167,334.386021
0.00133,189,338.399932
0.0,137,341.461109
0.0,236,346.429058
0.007125,303,352.658219
0.0,789,368.079774
0.0,212,372.883074
0.0,499,383.320569
0.0,572,394.937941
0.003056,118,397.998414
0.008017,115,404.309372
0.0,198,409.113434
0.0,183,413.710675
0.0,272,420.72319
0.0,96,423.2367
0.002267,979,443.928567
0.008791,437,454.564108
0.013103,381,462.617634
0.0,422,471.780135
0.006381,147,474.999587
0.019272,91,477.316396
0.000675,136,480.548406
0.0,139,483.572707
0.003532,96,485.889854
0.007862,187,489.898349
0.005044,594,501.719529
0.0,614,513.594646
0.011758,882,531.952808
0.0,54,533.453179
0.002784,21,534.391364
0.0,52,535.942519
0.003664,289,542.418825
0.018658,382,551.283133
0.0,334,558.601433
0.786112,596,571.09465
0.0,322,578.247589
0.034262,98,580.681005
0.003314,766,598.904161
0.000221,285,606.448256
0.0,1001,628.894611
0.01074,85,631.081005
0.008504,467,641.034079
0.006971,57,643.279633
0.013174,176,647.207219
0.0,115,649.973334
0.023127,872,667.689831
0.0,42,671.887378
0.011624,77,677.837895
0.001683,213,682.635864
0.005577,423,691.54046
0.005491,50,693.021669
0.0,352,700.152587
0.006519,458,709.67895
0.015926,171,713.724743
0.0,41,716.084022
0.000729,114,719.447064
0.008184,426,728.61892
5.7e-05,616,741.325977
0.003202,308,747.992117
0.017951,62,749.865752
0.048515,329,756.767656
0.014464,102,759.434399
0.003146,716,773.947459
0.026112,151,778.534678
0.0,522,789.287452
0.000985,83,791.367065
0.0,116,794.363795
0.0,354,801.988046
0.0,83,804.215792
0.008032,453,813.221239
0.0,173,817.092365
0.0,792,832.810637
0.001619,188,836.831102
0.00745,261,842.31133
0.003018,109,844.833866
0.002304,223,849.45748
0.005149,164,853.075016
0.000618,92,855.304219
0.006589,123,858.425062
0.004264,372,865.845614
0.002583,623,878.065226
0.019077,1001,897.399146
0.0,600,909.355335
0.0,271,915.05387
0.0,43,916.412007
0.0,164,920.063128
0.0,350,927.058599
3.2e-05,100,929.546468
0.0,1001,948.835186
0.0,93,951.02524
0.0,300,957.430836
0.0,652,970.801386
0.0,232,975.773091
0.0,422,984.273724
0.001013,601,996.280427
0.013421,733,1012.263843
0.0,118,1014.994375
3.1e-05,796,1030.545231
0.0,285,1036.754049
0.002868,25,1037.704509
0.003925,148,1041.164022
0.0,141,1044.302118
0.023277,528,1054.193804
0.017757,247,1058.946129
0.0,190,1062.754801
0.0,333,1069.068981
0.00897,84,1070.993541
0.000727,42,1072.173276
0.002721,157,1075.458294
0.005355,136,1078.282067
0.0,97,1080.417316
0.001593,134,1083.255914
0.0,818,1098.444073
0.0,104,1100.723292
0.00379,110,1103.128847
0.0,120,1105.566758
0.0,474,1113.915665
0.0,19,1114.688289
0.0,73,1116.416935
0.0,485,1125.343221
0.0,156,1128.470268
0.004104,48,1129.717862
0.001459,235,1134.995923
0.0,418,1142.979948
0.008256,65,1144.605149
0.0,225,1149.210415
0.0,364,1156.053897
0.0,929,1173.199721
0.0,550,1183.569041
0.0,363,1190.342679
0.0,42,1191.551221
0.0,102,1193.765119
0.0,70,1195.420553
0.0,1001,1214.309627
0.0,497,1223.870375
0.0,20,1224.778353
0.007784,231,1229.74806
0.0,115,1232.368548
0.0,585,1245.592163
0.0,250,1251.230274
0.0,350,1258.48096
0.0,127,1261.423724
0.003712,49,1262.824285
0.0,335,1269.670413
0.0006,185,1274.186239
0.0,74,1276.330451
0.005444,287,1282.737492
0.005143,286,1288.761081
0.003772,319,1295.316877
0.0,154,1298.704988
0.003362,168,1302.416468
0.001569,96,1304.807114
0.0,73,1306.701752
0.0,557,1317.773604
0.0,77,1319.699823
0.0,863,1336.946348
0.003089,892,1354.592427
0.074714,1001,1374.369431
0.001022,38,1375.491034
0.012287,138,1378.657089
0.0,867,1394.9309
0.0,408,1403.34463
0.011201,44,1404.66504
0.0,272,1410.716107
0.0,69,1412.728215
0.0,149,1415.908045
0.0,114,1418.560191
0.000522,107,1421.193991
0.011641,290,1426.883076
0.0,81,1428.936777
0.008017,411,1436.627165
0.0,658,1448.982177
0.009498,60,1450.549925
0.0,20,1451.387751
0.0,39,1452.650012
0.000661,32,1453.707033
0.0,270,1459.083041
0.002815,50,1460.635565
0.0,179,1464.493432
0.003126,46,1465.816026
0.005474,87,1467.877001
0.0,50,1469.249292
0.010973,136,1472.335167
0.006303,48,1473.647443
0.002733,185,1477.325143
0.009056,101,1479.877579
0.0,171,1483.419348
0.0,63,1484.994094
0.0,1001,1503.013758
0.002662,419,1510.801263
0.0,169,1514.475867
0.0,151,1517.871696
0.0,794,1532.939989
0.015648,632,1544.600886
0.003082,224,1548.975891
0.024256,514,1558.367437
0.009469,1001,1576.326984
0.005275,104,1578.667276
0.002278,94,1580.720857
0.001469,40,1581.881566
0.028316,65,1583.49236
0.007049,124,1586.130159
0.0,165,1589.505439
0.0,40,1590.670421
0.005253,131,1593.373909
0.0,215,1597.817851
0.0,1001,1618.848688
0.0,83,1620.881736
0.0,84,1623.144257
0.0,70,1624.961307
0.0,93,1627.294994
0.005024,113,1630.261957
0.0,56,1631.968246
0.0,196,1638.654271
0.0,70,1640.606604
