#{"t_start": 1735491270.021577, "env_id": "None"}
r,l,t
0.0,57,6.799484
0.0,403,12.373391
0.0,43,13.365437
0.0,48,14.422867
0.0,54,15.56601
0.0,61,16.789984
0.0,118,18.736342
0.0,48,19.811466
0.0,55,20.975505
0.0,47,22.054708
0.0,49,23.13693
0.0,50,24.221727
0.0,225,27.494815
0.0,52,28.600534
0.0,55,29.748597
0.0,63,30.992251
0.0,64,32.25149
0.0,112,34.118434
0.0,72,35.486699
0.0,46,36.51657
0.0,59,37.705095
0.0,62,38.956454
0.0,60,40.184933
0.0,48,41.252927
0.0,57,42.430593
0.0,309,46.812049
0.0,49,47.90172
0.052607,367,53.01573
0.0,68,54.306748
0.0,49,55.364286
0.0,62,56.585881
0.070431,298,60.80749
0.0,294,64.921751
0.0,65,66.187156
0.0,63,67.420591
0.0,61,68.641126
0.0,52,69.750439
0.0,44,70.764474
0.0,52,71.863716
0.0,53,73.01149
0.0,54,74.139609
0.0,287,78.15874
0.0,53,79.279597
0.0,52,80.374501
0.0,50,81.451097
0.0,46,82.506694
0.0,54,83.665236
0.0,53,84.831964
0.0,58,86.029027
0.0,383,91.294976
0.0,57,92.464233
0.0,392,97.892437
0.0,46,98.924249
0.0,53,100.046482
0.0,57,101.225132
0.0,53,102.340784
0.0,42,103.321284
0.0,51,104.407863
0.0,75,105.809863
0.0,253,109.491162
0.0,59,110.739745
0.0,52,111.894439
0.0,47,112.93271
0.0,42,113.901771
0.0,51,114.994421
0.0,51,116.089502
0.0,307,120.383303
0.0,58,121.569701
0.0,53,122.694252
0.0,249,126.255377
0.0,52,127.345831
0.0,46,128.374086
0.016041,211,131.447727
0.0,47,132.491806
0.0,45,133.535505
0.0,58,134.743159
0.0,48,135.799307
0.0,515,142.68483
0.0,391,148.081951
0.0,312,152.439352
0.0,50,153.521908
0.0,56,154.678647
0.0,401,160.124459
0.0,355,164.98246
0.0,178,167.637299
0.0,53,168.753544
0.0,47,169.797241
0.0,54,170.922125
0.0,48,171.976548
2.893079,1307,205.529913
8.351477,2001,254.897241
18.65325,2001,304.428928
6.63147,1128,332.411437
1.926483,608,347.834907
11.115017,2001,397.984006
9.32515,2001,448.145685
2.613201,928,471.587641
5.192499,2001,521.395571
0.080194,295,529.131896
0.0,539,542.903785
0.0,75,545.203559
0.128811,1497,582.602373
0.115374,714,600.631774
0.0,117,604.075545
0.184152,690,621.531317
0.0,132,625.211927
0.0,231,631.340203
0.0,696,648.863056
0.09456,572,663.38501
0.0,156,667.817939
0.029983,318,676.225714
0.297451,706,694.270587
0.0,65,696.356233
0.0,66,698.439596
0.009124,203,703.973054
0.101731,464,715.859869
0.0,69,718.036495
0.0,94,720.84372
0.0,77,723.235867
0.0,290,731.011184
0.0,61,732.999038
0.0,156,737.316648
0.0,64,739.396407
0.0,168,743.992055
0.0,449,755.552325
0.0,226,761.601645
0.0,193,766.868704
0.0,70,769.06757
0.0,575,783.684468
0.0,350,792.853481
0.0,127,796.475971
0.0,221,802.405807
0.0,43,803.930986
0.0,62,805.914966
0.0,56,807.746354
0.0,55,809.545877
0.0,54,811.359309
0.0,58,813.291467
0.0,60,815.27292
0.0,51,817.02429
0.0,52,818.782232
0.0,55,820.616818
0.0,55,822.427348
0.0,55,824.26389
0.0,58,826.198268
0.0,75,828.525659
0.0,64,830.584518
0.0,130,834.267668
0.011723,260,841.151547
0.0,65,843.227714
0.0,68,845.375171
0.0,62,847.360525
0.0,61,849.423311
0.000116,223,855.423268
0.0,111,858.618752
0.79158,1059,885.134974
0.113937,847,906.369843
0.0,136,910.239872
0.0,232,916.417287
0.049327,584,931.199487
0.0,448,942.662981
0.238554,1177,972.109167
0.695311,875,994.113003
0.0,67,996.237481
0.344532,267,1003.423597
0.0,369,1013.102797
0.283159,403,1023.52101
0.017509,328,1032.028553
8.777659,2001,1081.813072
0.006211,200,1087.185097
4.739756,1163,1116.18367
2.194251,1259,1147.668921
3.221637,890,1170.003376
8.977439,2001,1219.68159
0.012773,160,1224.074225
10.188197,2001,1273.622615
6.346273,1190,1303.367767
0.034519,544,1317.199153
4.376125,1030,1342.938695
1.494232,401,1353.179596
10.790853,2001,1402.689415
1.86055,372,1412.306056
3.421418,802,1432.452053
2.121698,559,1446.521448
12.122228,2001,1495.945971
12.327821,2001,1545.552837
19.323904,2001,1595.576658
17.294235,2001,1645.286594
3.273158,606,1660.712156
18.493035,2001,1710.322689
23.933782,2001,1760.037686
23.084229,2001,1809.735298
23.679187,2001,1859.619893
0.094747,165,1864.163429
0.016205,93,1866.94015
0.271316,333,1875.670837
26.88664,2001,1925.152035
32.479922,2001,1975.173264
0.125998,442,1986.65126
18.761885,1666,2028.352617
25.622143,2001,2078.343799
26.134325,2001,2128.11157
25.015881,2001,2178.833884
28.547721,2001,2229.664533
11.583885,850,2251.323059
27.145996,2001,2301.268005
33.684556,2001,2350.789014
41.52811,2001,2400.810131
36.318543,2001,2450.715921
30.776808,2001,2500.101204
37.716825,2001,2549.528889
32.617269,2001,2599.248385
34.660845,2001,2648.753448
40.129694,2001,2698.428356
38.206568,2001,2748.67131
39.599301,2001,2798.469788
42.613872,2001,2848.628294
42.026804,2001,2898.666891
36.780337,2001,2948.638343
41.434932,2001,2998.47784
40.319602,2001,3048.407305
28.669929,1893,3095.744933
52.193347,2001,3145.689294
44.458297,2001,3195.819753
26.840058,2001,3245.951638
53.316685,2001,3295.766684
55.047134,2001,3345.610748
45.502561,2001,3395.759746
55.099772,2001,3445.382944
46.784371,2001,3495.223302
62.950732,2001,3544.848205
60.547752,2001,3594.532618
62.940388,2001,3644.30496
