#{"t_start": 1735582979.81298, "env_id": "None"}
r,l,t
0.0,54,8.601896
0.001913,53,9.693176
0.0,58,10.812451
0.0,47,11.863496
0.0,68,13.130581
0.0,53,14.311951
0.0,53,15.928087
0.0,56,17.792824
0.0,73,19.422988
0.0,53,20.53385
0.00688,55,21.618877
0.0,54,22.736851
0.001008,46,23.760719
0.0,77,25.135211
0.0,52,26.174997
0.0,51,27.199567
0.328563,344,33.462803
0.01205,213,36.413928
0.285089,387,41.451959
0.07965,291,46.731941
0.002421,299,51.001637
0.0,61,52.177029
0.0,53,53.225795
0.0,55,54.346489
0.001305,153,56.557145
0.0,53,57.974755
0.0,70,59.98894
0.0,85,62.166215
0.0,91,63.678229
0.0,421,69.026881
0.0,54,70.114427
0.0,511,78.144203
0.221262,322,82.41856
0.0,48,83.434844
0.0,103,85.114129
0.0,214,89.225141
0.279624,324,93.962519
0.0,200,96.816822
0.075903,127,98.804207
0.0,121,100.744033
0.0,45,102.246181
0.011649,55,104.002217
0.0,183,107.086108
0.022807,221,110.225908
0.45073,685,120.513292
0.0,61,121.719607
0.01766,637,129.70657
0.000551,450,137.148621
0.016013,159,139.41556
0.0,45,140.463375
0.007559,246,143.896538
0.458914,481,151.654398
0.021918,190,154.381743
0.0,55,155.483225
0.0,56,156.589912
0.002066,122,158.471341
0.0,97,160.714716
0.0,43,162.211376
0.002086,56,163.77398
0.0,69,165.012146
0.002762,334,169.40245
0.0,61,170.618724
0.0,54,171.713743
0.0,48,172.741353
0.006304,144,178.132433
0.683552,178,182.770821
20.467575,604,198.422721
0.357653,152,202.936107
0.87296,285,210.853356
0.713362,613,226.970364
0.039601,119,230.627838
0.72375,195,236.780004
0.082334,232,242.744321
0.042266,143,247.97787
0.053368,203,253.135194
0.261659,152,257.156793
0.060326,147,262.478381
0.249288,290,269.781538
0.062499,101,272.692184
3.467937,174,278.650016
0.206198,121,281.9563
0.123012,114,285.086173
0.000891,170,291.063733
0.106208,209,296.332925
0.006257,270,304.341917
0.204085,373,313.877877
0.019129,192,320.280623
0.763146,755,340.138846
0.154059,194,345.653771
1.647568,384,355.943754
7.687847,871,379.485555
0.306626,204,384.733663
0.207797,409,396.117862
1.138148,503,409.837956
3.276204,505,423.437413
1.140543,245,429.779442
0.511617,272,437.934102
1.268259,282,445.666226
3.4392,851,468.079272
0.560974,140,471.814021
0.0,135,476.915673
0.030422,275,483.956163
1.177023,224,491.151535
0.893122,221,496.756318
1.03637,689,515.153793
2.922307,561,530.604049
0.218556,208,536.964243
1.391013,201,542.220452
2.666556,652,560.1403
13.954492,614,577.296066
1.270043,554,591.883718
7.681947,589,607.709149
4.430651,500,622.977219
2.23012,187,628.32277
10.442105,497,643.70329
2.658097,272,652.618334
2.427408,631,670.562015
0.053401,169,676.189522
1.69113,220,683.867508
3.896111,304,694.592489
0.037305,136,698.855343
0.012598,267,708.138643
3.753956,267,715.983632
0.963091,233,724.570142
0.080237,147,729.174043
3.108933,413,742.4875
3.734597,321,753.136747
12.045203,466,767.35297
0.47537,165,772.576662
0.333009,297,782.188142
1.402509,204,788.431723
4.341218,399,800.779708
2.215967,316,810.171848
0.87044,266,818.466936
2.271926,256,827.007936
5.536402,496,841.729748
11.934712,905,868.01291
17.137589,899,891.542248
10.631272,832,914.22231
2.522263,285,921.26167
12.462497,586,936.880315
20.170999,954,962.154899
4.944377,333,971.81029
1.88336,585,987.200536
2.952624,245,993.312687
1.672295,157,998.866831
6.33596,482,1011.500891
20.497291,915,1034.802673
9.227242,425,1046.381876
14.097095,728,1064.916167
48.907764,1501,1104.213772
57.749779,1501,1143.700945
26.492784,1501,1183.303349
4.881228,328,1191.428921
48.868122,1501,1230.64377
59.626619,1501,1270.13043
0.008464,95,1272.827494
32.464623,1501,1312.238721
16.698802,1501,1352.268529
15.239459,628,1368.97847
35.588883,1501,1408.259055
2.631617,363,1417.22921
6.451736,551,1431.858538
16.36516,1233,1465.266082
38.97293,1114,1495.024329
64.701961,1501,1534.158313
41.511863,1501,1573.415693
69.351562,1501,1612.687583
56.613945,1501,1651.854138
68.185548,1501,1690.679851
75.599408,1501,1729.798659
57.287311,1501,1770.034584
59.421605,1501,1809.929906
40.215541,1501,1849.194799
8.748317,952,1874.003463
69.421081,1501,1912.956175
59.158443,1501,1952.706901
11.76088,373,1963.300298
61.383134,1501,2002.183738
8.087045,1501,2040.683333
62.163764,1501,2080.553713
69.327795,1501,2120.452302
68.553547,1501,2159.908486
26.588788,895,2182.462482
