#{"t_start": 1735641528.0849004, "env_id": "None"}
r,l,t
0.0,190,9.292754
0.0,44,10.213785
0.003552,40,11.098224
0.0,52,12.13014
0.0,55,13.170853
0.0,66,14.334608
0.0,482,21.833519
0.0,110,23.493179
0.0,58,24.588887
0.0,53,25.608874
0.003837,50,26.597586
0.0,49,27.570546
0.0,405,34.45442
0.0,150,36.642668
0.0,54,37.692091
0.0,49,38.672375
0.0,51,39.723197
0.005257,355,44.512382
0.0,61,46.196271
0.0,53,47.853418
0.024832,234,51.030248
0.0,51,52.013392
0.002377,46,52.948616
0.0,46,53.886882
0.0,57,54.957074
0.0,143,56.971074
0.0,74,58.410789
0.0,49,59.921219
0.0,65,61.818539
0.0,62,63.071827
0.02578,559,69.849124
0.0,55,70.936251
0.052048,219,74.784676
0.0,112,77.145028
0.0,52,78.142936
0.0,53,79.161796
0.724452,579,86.220632
0.0,61,87.833719
0.0,47,89.313711
0.060609,396,94.863143
0.0,55,95.936272
0.0,47,96.900282
0.0,55,97.948567
0.0,134,99.883465
0.0,245,104.374384
0.0,43,105.582229
0.0,231,108.634519
0.0,54,109.652638
0.0,48,110.619406
0.0,49,111.609365
0.0,48,112.591546
0.0,45,113.521204
0.0,52,114.550753
0.0,60,115.973697
0.0,223,120.551425
0.0,93,122.23474
0.0,179,124.663904
0.0,363,129.28517
0.0,53,130.690826
0.0,178,134.379449
0.0,44,135.296719
0.0,52,136.344728
0.003452,416,141.465009
0.0,47,142.434385
0.0,41,143.324009
0.0,51,144.486697
0.0,327,150.164612
0.0,57,151.235158
0.078934,103,152.809411
0.0,56,153.873939
0.0,127,155.703699
0.0,167,158.173042
0.0,49,159.454895
0.010049,243,163.883015
0.0,102,165.448018
0.0,49,166.446374
0.0,43,167.403556
0.0,51,168.43647
0.0,60,169.533736
0.0,66,170.704144
0.0,44,171.625261
0.0,57,172.682628
0.0,48,174.125282
0.0,430,185.403736
5.251782,349,195.174469
4.652661,209,200.477719
2.900214,229,207.4131
10.238413,550,221.842409
0.485426,184,226.448453
2.11991,225,233.47269
3.157279,257,239.888142
2.205126,508,253.19567
0.186383,194,258.331657
0.056699,225,265.100747
1.555271,214,270.464657
1.090686,221,277.230915
2.092624,312,284.792918
0.024518,138,289.527636
2.397366,232,295.565314
1.061072,229,301.663412
9.043026,691,320.018179
11.653343,688,337.513858
4.064247,238,343.621189
4.750366,546,357.85178
4.268962,581,373.189618
2.978658,317,381.582418
2.555471,380,392.112834
3.480069,456,404.339131
0.292951,342,412.520975
3.575566,387,423.225295
1.77936,227,429.258278
2.84866,414,440.110593
