#{"t_start": 1736094437.4350529, "env_id": "None"}
r,l,t
0.006692,67,3.387549
0.0,35,4.188583
0.005443,54,5.23721
0.033386,58,6.368588
0.001999,82,8.435894
0.000472,104,10.470558
0.0,67,11.740664
0.004967,233,16.180616
0.06919,270,21.484867
0.0,60,22.635615
0.020944,127,24.999106
0.0,76,26.670318
0.018059,69,27.925142
0.000342,52,28.946545
0.002554,256,33.170933
0.002688,217,37.638615
0.05953,518,46.4813
0.017195,221,50.798644
0.0,69,52.090019
0.076064,57,53.490195
0.0,229,57.306548
0.125353,105,59.091829
0.0,51,60.115737
0.0,52,61.200782
0.012356,248,66.149627
0.0,91,67.732582
1.337051,301,73.213753
1.084028,164,76.082026
0.00432,52,77.103682
0.001829,67,78.353041
0.0,75,80.289917
0.000461,168,83.235656
0.000891,57,84.336939
0.0,57,85.412366
0.0,124,87.49944
0.032334,539,97.935055
9.345161,256,105.665736
0.46654,168,111.141272
1.423809,88,114.343037
0.168817,138,118.628544
0.112174,52,120.450781
0.042089,65,122.666648
0.016507,45,124.276308
0.065419,102,127.529627
0.100825,72,130.264564
2.219883,152,135.633592
0.093543,45,137.546054
0.12611,51,139.354209
0.072949,76,142.200325
0.55541,296,151.518282
0.038094,100,155.171203
0.031735,84,159.130416
0.02996,50,161.328394
0.695953,78,165.316994
1.597906,123,170.704292
7.920126,289,182.430175
0.068686,183,190.580221
0.080494,76,194.272695
0.026878,64,197.084488
0.109402,54,199.534435
0.038753,57,201.989187
0.046845,77,205.781503
0.013255,49,207.967089
0.035521,157,214.712987
0.309206,101,219.616578
0.115698,149,225.998857
0.982423,113,231.302433
13.19952,454,250.72278
0.015335,79,254.498113
0.074389,58,257.194599
0.006975,73,260.692719
5.240395,328,273.450683
0.043789,57,275.931178
0.046691,119,281.241738
0.737893,429,299.440651
0.007357,71,302.819184
3.27753,149,309.854523
6.495187,461,330.265306
0.955375,258,342.905083
11.138742,471,362.469201
3.188632,326,376.317098
0.2317,363,390.560928
7.366895,468,408.941327
0.012303,60,411.425824
0.048318,55,414.18917
0.041743,71,417.574175
0.035406,47,419.981356
0.021239,66,422.880176
0.011726,97,427.77741
0.015203,79,431.133316
0.032667,208,440.59878
0.799513,93,445.10343
0.01609,57,447.57725
0.013865,58,450.031629
2.221551,342,464.23477
0.01989,96,468.506861
0.042166,412,485.236045
2.044916,109,489.841316
0.041029,232,500.195419
1.474217,144,506.276398
22.601961,757,536.674903
1.358566,115,542.273105
15.368335,348,557.180376
0.69845,100,561.13969
25.69253,669,586.460612
0.159501,207,594.726618
0.002197,279,606.438638
6.43423,278,617.054353
1.942146,226,627.21568
0.02942,72,630.393742
1.004778,194,638.075913
8.570396,309,649.566943
0.075315,82,652.845823
3.73407,234,662.956817
8.703563,272,673.970342
0.06476,126,679.632458
79.573999,2765,788.943567
0.02323,127,794.701607
15.322806,704,822.082343
1.864977,141,827.692027
0.007817,81,831.431226
0.00567,77,834.641914
8.345403,526,856.770314
7.954824,479,876.335789
0.23147,84,880.161183
2.355774,214,889.015434
5.247381,268,899.920805
0.187826,191,907.614345
12.518886,384,923.637362
2.9035,259,933.872154
0.002922,88,937.549119
